user_id	query_id	transaction_id	session_id	database_name	parent_query_id	child_query_sequence	start_time	end_time	elapsed_time	aborted	step_name	table_id	table_name	schema_name	input_bytes	input_rows	output_bytes	output_rows	query_text	source_query_id	redshift_version	result_cache_hit	step_id	stream_id	is_rrscan	segment_id	is_child	source_type	query_blocks_read	spilled_block_local_disk	spilled_block_remote_disk	data_skewness	time_skewness	is_delayed_scan	delayed_scan_rows	join_type	alert_type
114	8429113	987221	1002341	tpcds	0	0	2026-04-22 09:48:11.214	2026-04-22 09:48:11.634	420	f	scan	100001	store_sales	tpcds	184345600	2880404	184345600	2880404	SELECT i_brand, SUM(ss_ext_sales_price) FROM store_sales JOIN item ON ss_item_sk = i_item_sk JOIN date_dim ON ss_sold_date_sk = d_date_sk WHERE d_year = 2024 GROUP BY i_brand ORDER BY 2 DESC LIMIT 1200;	0	1.0.84311	f	0	0	f	0	f	bi	2820	0	0	0.12	0.08	f	0	NULL	NULL
114	8429113	987221	1002341	tpcds	0	0	2026-04-22 09:48:11.635	2026-04-22 09:48:11.720	85	f	project	100001	store_sales	tpcds	184345600	2880404	184345600	2880404	SELECT i_brand, SUM(ss_ext_sales_price) FROM store_sales JOIN item ON ss_item_sk = i_item_sk JOIN date_dim ON ss_sold_date_sk = d_date_sk WHERE d_year = 2024 GROUP BY i_brand ORDER BY 2 DESC LIMIT 1200;	0	1.0.84311	f	1	0	f	0	f	bi	0	0	0	0.05	0.03	f	0	NULL	NULL
114	8429113	987221	1002341	tpcds	0	0	2026-04-22 09:48:11.721	2026-04-22 09:48:11.981	260	f	hash	100001	store_sales	tpcds	184345600	2880404	184345600	2880404	SELECT i_brand, SUM(ss_ext_sales_price) FROM store_sales JOIN item ON ss_item_sk = i_item_sk JOIN date_dim ON ss_sold_date_sk = d_date_sk WHERE d_year = 2024 GROUP BY i_brand ORDER BY 2 DESC LIMIT 1200;	0	1.0.84311	f	2	0	f	0	f	bi	0	0	0	0.11	0.09	f	0	NULL	NULL
114	8429113	987221	1002341	tpcds	0	0	2026-04-22 09:48:11.982	2026-04-22 09:48:12.037	55	f	scan	100010	date_dim	tpcds	1680000	73049	1680000	73049	SELECT i_brand, SUM(ss_ext_sales_price) FROM store_sales JOIN item ON ss_item_sk = i_item_sk JOIN date_dim ON ss_sold_date_sk = d_date_sk WHERE d_year = 2024 GROUP BY i_brand ORDER BY 2 DESC LIMIT 1200;	0	1.0.84311	f	3	0	f	1	f	bi	22	0	0	0.04	0.02	f	0	NULL	missing_stats
114	8429113	987221	1002341	tpcds	0	0	2026-04-22 09:48:12.038	2026-04-22 09:48:15.257	3219	f	dist	100001	store_sales	tpcds	184345600	2880404	184345600	2880404	SELECT i_brand, SUM(ss_ext_sales_price) FROM store_sales JOIN item ON ss_item_sk = i_item_sk JOIN date_dim ON ss_sold_date_sk = d_date_sk WHERE d_year = 2024 GROUP BY i_brand ORDER BY 2 DESC LIMIT 1200;	0	1.0.84311	f	4	0	f	1	f	bi	0	0	0	0.31	0.28	f	0	NULL	distkey_mismatch
114	8429113	987221	1002341	tpcds	0	0	2026-04-22 09:48:15.258	2026-04-22 09:48:17.340	2082	f	hash join	100001	store_sales	tpcds	184345600	2880404	186025600	2880404	SELECT i_brand, SUM(ss_ext_sales_price) FROM store_sales JOIN item ON ss_item_sk = i_item_sk JOIN date_dim ON ss_sold_date_sk = d_date_sk WHERE d_year = 2024 GROUP BY i_brand ORDER BY 2 DESC LIMIT 1200;	0	1.0.84311	f	5	0	f	2	f	bi	0	0	0	0.48	0.52	f	0	inner	NULL
114	8429113	987221	1002341	tpcds	0	0	2026-04-22 09:48:17.341	2026-04-22 09:48:17.530	189	f	project	100001	store_sales	tpcds	186025600	2880404	186025600	2880404	SELECT i_brand, SUM(ss_ext_sales_price) FROM store_sales JOIN item ON ss_item_sk = i_item_sk JOIN date_dim ON ss_sold_date_sk = d_date_sk WHERE d_year = 2024 GROUP BY i_brand ORDER BY 2 DESC LIMIT 1200;	0	1.0.84311	f	6	0	f	2	f	bi	0	0	0	0.08	0.06	f	0	NULL	NULL
114	8429113	987221	1002341	tpcds	0	0	2026-04-22 09:48:17.531	2026-04-22 09:48:17.598	67	f	scan	100007	item	tpcds	80400000	402000	80400000	402000	SELECT i_brand, SUM(ss_ext_sales_price) FROM store_sales JOIN item ON ss_item_sk = i_item_sk JOIN date_dim ON ss_sold_date_sk = d_date_sk WHERE d_year = 2024 GROUP BY i_brand ORDER BY 2 DESC LIMIT 1200;	0	1.0.84311	f	7	1	f	3	f	bi	48	0	0	0.06	0.04	f	0	NULL	NULL
114	8429113	987221	1002341	tpcds	0	0	2026-04-22 09:48:17.599	2026-04-22 09:48:17.701	102	f	project	100007	item	tpcds	80400000	402000	80400000	402000	SELECT i_brand, SUM(ss_ext_sales_price) FROM store_sales JOIN item ON ss_item_sk = i_item_sk JOIN date_dim ON ss_sold_date_sk = d_date_sk WHERE d_year = 2024 GROUP BY i_brand ORDER BY 2 DESC LIMIT 1200;	0	1.0.84311	f	8	1	f	3	f	bi	0	0	0	0.03	0.02	f	0	NULL	NULL
114	8429113	987221	1002341	tpcds	0	0	2026-04-22 09:48:17.702	2026-04-22 09:48:18.870	1168	f	hash	100007	item	tpcds	80400000	402000	80400000	402000	SELECT i_brand, SUM(ss_ext_sales_price) FROM store_sales JOIN item ON ss_item_sk = i_item_sk JOIN date_dim ON ss_sold_date_sk = d_date_sk WHERE d_year = 2024 GROUP BY i_brand ORDER BY 2 DESC LIMIT 1200;	0	1.0.84311	f	9	1	f	3	f	bi	0	142	0	0.22	0.41	f	0	NULL	hash_spill
